,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_Maximum,0.10023189299569886,0.4519196727116329,-2.172724725225349,0.08753339594901648,0.25586116750141696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.3966269149206134,0.7188044204585694,-0.8578166995583398,0.10087750541795584,0.25586116750141696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.21254818189504146,0.5516528668566925,-1.3759708036402891,0.08919472109728149,0.25586116750141696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.8081509676497225,0.47758868033615653,0.7588561799174814,0.10058021488167869,0.25586116750141696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.570777194401684,0.17807976387058577,1.6804041077752707,0.10176296434715447,0.25586116750141696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.17960858585858697,0.5085858585858596,-1.5016350308128343,0.11235139789710352,0.26721413553905704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.8203914141414144,0.4914141414141408,0.7393730185784536,0.11235139789710265,0.26721413553905704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.5975249982595245,0.20429850566625002,1.5483204198665113,0.11912864649155214,0.2758768655593839,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.6020286891784865,0.29883806145296027,1.0104683306505837,0.12627361278915475,0.2849250750114261,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.9366871235520092,0.5750036881417488,0.7039960231559497,0.13917898993621802,0.30619377785967966,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.3484519747748731,0.6289578989490543,-0.8520036184730689,0.15108541780300624,0.3165599230158246,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.3484519747748738,0.6289578989490543,-0.852003618473066,0.1510854178030072,0.3165599230158246,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.027760334156917095,0.3471146957846038,-3.6443156066431515,0.1600730410515051,0.32759133982633604,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.2532190514922632,0.6188056215275057,-1.2891003497970455,0.1754924436062362,0.3509848872124724,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.2840498923025151,0.6544654874812231,-1.204172759255695,0.19439868171848154,0.3801574220272528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.53125,0.2375,1.1614634226941163,0.20933399543329273,0.3919445020878674,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.46875,0.7625,-0.7019186470670054,0.2093339954332928,0.3919445020878674,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.29381587180363944,0.6198245863244697,-1.076947651096004,0.22201440350716176,0.4070264064297966,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.6460166318171848,0.30215115289102307,1.0963008610368954,0.2272567508216196,0.40813457290413324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.2668887661848274,0.5098959358256536,-0.9339642576742737,0.33259326136904926,0.5628501346245597,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
