,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Correlation,0.13964474933501614,0.5464989299330655,-1.9684573419722886,0.048096716042694956,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.22954296864158263,0.6525487096650894,-1.5073213559378624,0.03340646509033784,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.8489301371586979,0.4531970150867263,0.9055074727463648,0.055706679611199086,0.1441819942878094,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.25082360784292135,0.6469753824022462,-1.3670376754475686,0.05429754230833822,0.1441819942878094,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.11723985241031998,0.54743691625206,-2.2232296687348656,0.05946240122989654,0.14950546594945416,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.7173328126278655,0.29643390621271415,1.274932151782217,0.06291673032721763,0.15379645191097643,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.7454073275886064,0.3342336046469309,1.157172208577271,0.06682740255686925,0.1589408493244458,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.20833333333333337,0.6000000000000001,-1.5260688116675878,0.076637474650563,0.17333391425379557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.9474080957787621,0.47036267017430866,1.0102124332873905,0.07778946081619352,0.17333391425379557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.6838592233009742,0.2723300970873801,1.3283429344507898,0.08272754998476518,0.17333391425379557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.31614077669902496,0.727669902912617,-1.2027170107819993,0.08272754998476607,0.17333391425379557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.36935440477797365,0.77373979968852,-1.06684270243998,0.08145565823051894,0.17333391425379557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.7139772611446011,0.3373914284163294,1.081454806053783,0.0939234556650016,0.19221544415163117,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.37279058126574416,0.8029180290844004,-1.1068872986367042,0.10002441316519922,0.20004882633039844,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.23699008666765353,0.6221773570036973,-1.3924991793782675,0.12404818586592183,0.24258311902669158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.6893381259698064,0.36226348447139,0.9281724182476045,0.1310880860537012,0.2454415228239512,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.6893381259698068,0.36226348447138895,0.9281724182476098,0.13108808605370023,0.2454415228239512,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.6223388965703807,0.24717013720511294,1.3321959692721979,0.1340503201079413,0.2457589201978924,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.13289263713516264,0.4635078234999136,-1.802332515283445,0.14248552744632917,0.25589237582197893,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.3861973321614478,0.7466220624943858,-0.9510399423141208,0.1493699714227728,0.25773642127850993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.3861973321614407,0.7466220624943801,-0.9510399423141364,0.14936997142275965,0.25773642127850993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.14741482485670143,0.4654059329881989,-1.6586079851304483,0.15468085832846973,0.2617676064020257,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.13523395232310098,0.4375968687399145,-1.694145009536333,0.18001116385346408,0.29888646073782715,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.24174454828660427,0.5107213036184998,-1.0790528840985654,0.1862579549710961,0.30353148217511955,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.8481908119356816,0.5328776571448692,0.6705845108896666,0.2176191524699376,0.34819064395190014,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
