,feature_name,case,control,L2FC,p_val,fdr_bh_adjusted_p_val,image_type,param_type,roi,transformation_type,feature_class,feature_type,fdr_bh_significance_alpha_0.05
32,original_glcm_Imc2,0.4990800586953994,0.35041283731229883,0.5102156317045566,0.5195042073784906,0.6349495867959328,ODI,binWidth_0_05,r_amygdala,original,glcm,Imc2,False
33,original_glcm_InverseVariance,0.3709266199776664,0.8445912558015392,-1.1871195025131185,0.020508942602539625,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,InverseVariance,False
34,original_glcm_JointAverage,0.7236647806329926,0.3079852073381354,1.2324605008140144,0.04663973389891606,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,JointAverage,False
35,original_glcm_JointEnergy,0.33675251591692057,0.6558011654996152,-0.9615697414433672,0.15419485388625048,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,JointEnergy,False
36,original_glcm_JointEntropy,0.6431398371077524,0.2887051258994834,1.1555357325255589,0.13787236964742522,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,JointEntropy,False
37,original_glcm_MCC,0.4429151941254137,0.3423035972920451,0.37175403565507625,0.6433182664844237,0.7257949673157601,ODI,binWidth_0_05,r_amygdala,original,glcm,MCC,False
38,original_glcm_MaximumProbability,0.415547335131416,0.6886308106064585,-0.7287179069609214,0.22863699283980324,0.3618880658690263,ODI,binWidth_0_05,r_amygdala,original,glcm,MaximumProbability,False
39,original_glcm_SumAverage,0.7236647806329923,0.3079852073381352,1.2324605008140153,0.04663973389891612,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,SumAverage,False
40,original_glcm_SumEntropy,0.6869067911102795,0.33085199308518176,1.0539283772494672,0.15811585153583635,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,SumEntropy,False
41,original_glcm_SumSquares,0.6590992986347628,0.3068404640722442,1.1030070868940731,0.15714465698287475,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,SumSquares,False
42,original_glrlm_GrayLevelNonUniformity,0.2993535703988799,0.6771206106000804,-1.1775623561197,0.13104738025971446,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,GrayLevelNonUniformity,False
43,original_glrlm_GrayLevelNonUniformityNormalized,0.31094888255830405,0.6687952246410136,-1.104887113629867,0.14949292474337625,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,GrayLevelNonUniformityNormalized,False
44,original_glrlm_GrayLevelVariance,0.7122574998796646,0.35020950185660443,1.0241806804287283,0.17611140766848254,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,GrayLevelVariance,False
45,original_glrlm_HighGrayLevelRunEmphasis,0.7789763643225442,0.3420710054114438,1.1872837310269606,0.04940122289192274,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,HighGrayLevelRunEmphasis,False
46,original_glrlm_LongRunEmphasis,0.3528047611196381,0.6323330657542777,-0.8418146321469616,0.27762458491105146,0.38173380425269576,ODI,binWidth_0_05,r_amygdala,original,glrlm,LongRunEmphasis,False
47,original_glrlm_LongRunHighGrayLevelEmphasis,0.7104583727295666,0.2456983713615244,1.5318618266965491,0.032631811554765355,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,LongRunHighGrayLevelEmphasis,False
48,original_glrlm_LongRunLowGrayLevelEmphasis,0.17353845665102074,0.5670639087211917,-1.7082559337838186,0.08584344805732817,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,LongRunLowGrayLevelEmphasis,False
49,original_glrlm_LowGrayLevelRunEmphasis,0.10485973659150168,0.5096966350150655,-2.281178001783395,0.06986713691208436,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,LowGrayLevelRunEmphasis,False
50,original_glrlm_RunEntropy,0.7365220686691565,0.36782516653148817,1.0017085618253865,0.190457062172014,0.3223119513680236,ODI,binWidth_0_05,r_amygdala,original,glrlm,RunEntropy,False
51,original_glrlm_RunLengthNonUniformity,0.6000595472326142,0.315610827950308,0.9269589723821016,0.2385171343227673,0.3618880658690263,ODI,binWidth_0_05,r_amygdala,original,glrlm,RunLengthNonUniformity,False
52,original_glrlm_RunLengthNonUniformityNormalized,0.6122924999501618,0.32460230843079163,0.9155477516987108,0.23705165368136694,0.3618880658690263,ODI,binWidth_0_05,r_amygdala,original,glrlm,RunLengthNonUniformityNormalized,False
53,original_glrlm_RunPercentage,0.6165291691219805,0.3367707719505008,0.8724022192232297,0.25601499980419146,0.3693331144716204,ODI,binWidth_0_05,r_amygdala,original,glrlm,RunPercentage,False
54,original_glrlm_RunVariance,0.3624843056293406,0.6377407901001474,-0.8150516268145132,0.2985491974140409,0.4041896826528554,ODI,binWidth_0_05,r_amygdala,original,glrlm,RunVariance,False
55,original_glrlm_ShortRunEmphasis,0.6278006730988381,0.3391777526797721,0.8882650318459002,0.2430194861650407,0.3624697420766709,ODI,binWidth_0_05,r_amygdala,original,glrlm,ShortRunEmphasis,False
56,original_glrlm_ShortRunHighGrayLevelEmphasis,0.7954181940149188,0.360357263143581,1.1422856383063238,0.06318501540110721,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,ShortRunHighGrayLevelEmphasis,False
57,original_glrlm_ShortRunLowGrayLevelEmphasis,0.10576182027875664,0.4966699464266528,-2.2314685391608964,0.07731700263282851,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glrlm,ShortRunLowGrayLevelEmphasis,False
58,original_glszm_GrayLevelNonUniformity,0.4528735978258032,0.3280433208810869,0.4652220864094899,0.5614555077405134,0.6500572150778015,ODI,binWidth_0_05,r_amygdala,original,glszm,GrayLevelNonUniformity,False
59,original_glszm_GrayLevelNonUniformityNormalized,0.35121306820802023,0.5198821907423252,-0.5658382078362294,0.4311335222100979,0.54146923061271,ODI,binWidth_0_05,r_amygdala,original,glszm,GrayLevelNonUniformityNormalized,False
60,original_glszm_GrayLevelVariance,0.34977567445749136,0.2475647183475905,0.4986242351870353,0.6789046497600598,0.7429062268025465,ODI,binWidth_0_05,r_amygdala,original,glszm,GrayLevelVariance,False
61,original_glszm_HighGrayLevelZoneEmphasis,0.6325096043323685,0.4015888474566486,0.6553681818628717,0.3765503730627309,0.4802381569495698,ODI,binWidth_0_05,r_amygdala,original,glszm,HighGrayLevelZoneEmphasis,False
62,original_glszm_LargeAreaEmphasis,0.3556300103255095,0.6475650999842492,-0.8646481617104247,0.2341650179472617,0.3618880658690263,ODI,binWidth_0_05,r_amygdala,original,glszm,LargeAreaEmphasis,False
63,original_glszm_LargeAreaHighGrayLevelEmphasis,0.3867102096370594,0.4625734965131945,-0.2584297541830988,0.7653206493227237,0.7923319663576434,ODI,binWidth_0_05,r_amygdala,original,glszm,LargeAreaHighGrayLevelEmphasis,False
64,original_glszm_LargeAreaLowGrayLevelEmphasis,0.2511631313844335,0.5940692852384343,-1.2420064953950425,0.13804208972985282,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glszm,LargeAreaLowGrayLevelEmphasis,False
65,original_glszm_LowGrayLevelZoneEmphasis,0.07999779036371611,0.4509105568205472,-2.494809230404415,0.12793819991542335,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glszm,LowGrayLevelZoneEmphasis,False
66,original_glszm_SizeZoneNonUniformity,0.5050079031302459,0.4264144075729717,0.24404978121834675,0.7418110875824346,0.7836446762182383,ODI,binWidth_0_05,r_amygdala,original,glszm,SizeZoneNonUniformity,False
67,original_glszm_SizeZoneNonUniformityNormalized,0.4902382370469176,0.5787684908856898,-0.2395033670148126,0.7188425541057287,0.7714407897720016,ODI,binWidth_0_05,r_amygdala,original,glszm,SizeZoneNonUniformityNormalized,False
68,original_glszm_SmallAreaEmphasis,0.5699902245924761,0.6266946831373129,-0.13682557630858724,0.8162849665859877,0.8256675524088152,ODI,binWidth_0_05,r_amygdala,original,glszm,SmallAreaEmphasis,False
69,original_glszm_SmallAreaHighGrayLevelEmphasis,0.6014780432247007,0.4438086547682147,0.4385742712273645,0.5686464589969955,0.6500572150778015,ODI,binWidth_0_05,r_amygdala,original,glszm,SmallAreaHighGrayLevelEmphasis,False
70,original_glszm_SmallAreaLowGrayLevelEmphasis,0.07652811033833856,0.3972038131173788,-2.3758177910319205,0.13557725932488285,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glszm,SmallAreaLowGrayLevelEmphasis,False
71,original_glszm_ZoneEntropy,0.6034186855970733,0.26797323136497864,1.1710704791659468,0.19516046537081305,0.3240400179741801,ODI,binWidth_0_05,r_amygdala,original,glszm,ZoneEntropy,False
72,original_glszm_ZonePercentage,0.5166666666666664,0.3066666666666663,0.7525624492172256,0.4368672201534365,0.54146923061271,ODI,binWidth_0_05,r_amygdala,original,glszm,ZonePercentage,False
73,original_glszm_ZoneVariance,0.3540181183982423,0.6451158442392279,-0.8657350519927719,0.2298135145647735,0.3618880658690263,ODI,binWidth_0_05,r_amygdala,original,glszm,ZoneVariance,False
74,original_gldm_DependenceEntropy,0.6208301526134017,0.22445788452382195,1.4677538537130919,0.13112486192116538,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,DependenceEntropy,False
75,original_gldm_DependenceNonUniformity,0.4739152108890729,0.33820278295548195,0.4867404355350362,0.5376981540562171,0.6394248318506397,ODI,binWidth_0_05,r_amygdala,original,gldm,DependenceNonUniformity,False
76,original_gldm_DependenceNonUniformityNormalized,0.4739152108890717,0.3382027829554816,0.4867404355350346,0.5376981540562198,0.6394248318506397,ODI,binWidth_0_05,r_amygdala,original,gldm,DependenceNonUniformityNormalized,False
77,original_gldm_DependenceVariance,0.6294955569562131,0.5647672500533976,0.15653976382744106,0.8056402636275075,0.8243760837118681,ODI,binWidth_0_05,r_amygdala,original,gldm,DependenceVariance,False
78,original_gldm_GrayLevelNonUniformity,0.3399370371608378,0.672017089913487,-0.9832303659199552,0.15424432418654396,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,GrayLevelNonUniformity,False
79,original_gldm_GrayLevelVariance,0.6569059768246013,0.30471233676636106,1.108238980869867,0.16275905084551096,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,GrayLevelVariance,False
80,original_gldm_HighGrayLevelEmphasis,0.7085691042863518,0.2934790433818554,1.2716510733451212,0.05036978979019648,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,HighGrayLevelEmphasis,False
81,original_gldm_LargeDependenceEmphasis,0.3881196776155717,0.6319464720194647,-0.7033007830579981,0.31880288249507804,0.4250705099934374,ODI,binWidth_0_05,r_amygdala,original,gldm,LargeDependenceEmphasis,False
82,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6005298563891442,0.14139298428192915,2.086525436359572,0.0735611096774468,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,LargeDependenceHighGrayLevelEmphasis,False
83,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.2714874586706083,0.6390663956697593,-1.2350802730082886,0.1030298285871512,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,LargeDependenceLowGrayLevelEmphasis,False
84,original_gldm_LowGrayLevelEmphasis,0.11662887759758322,0.5293958857039831,-2.182421935093335,0.06166630991182768,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,gldm,LowGrayLevelEmphasis,False
85,original_gldm_SmallDependenceEmphasis,0.6471303278871532,0.33438053493786424,0.9525654237267576,0.2646327109378547,0.375306383773177,ODI,binWidth_0_05,r_amygdala,original,gldm,SmallDependenceEmphasis,False
86,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6566560730681694,0.3694424471661889,0.8297883149625549,0.26868525201943355,0.375306383773177,ODI,binWidth_0_05,r_amygdala,original,gldm,SmallDependenceHighGrayLevelEmphasis,False
87,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.17973314417987998,0.4500145424596421,-1.32411514616558,0.1843488970872962,0.3223119513680236,ODI,binWidth_0_05,r_amygdala,original,gldm,SmallDependenceLowGrayLevelEmphasis,False
88,original_firstorder_10Percentile,0.7787423803498511,0.259149333729468,1.5873624575002772,0.01679745050787649,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,firstorder,10Percentile,True
