,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_Uniformity,0.3086406952418288,0.7914019513374686,-1.3584823242195943,0.012919843448168662,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.16918756088626458,0.6837721779840322,-2.01489222049702,0.008040793149122807,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.6586731446851632,0.17790062021848793,1.8884911896840713,0.012819058733304562,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.6463520959754478,0.18136290716328424,1.8334408554056894,0.014867306635348725,0.035360080646234804,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.2540229481077281,0.7077433797117829,-1.4782675150025906,0.015321697409242932,0.03548182557929942,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.8621708105556176,0.31249468628662025,1.4641420616635248,0.017390814687017798,0.03754526519683916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.8882824815428594,0.40155383110964743,1.145425134987471,0.017315979902458728,0.03754526519683916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.7184985441054099,0.22950189017216677,1.6464791976602038,0.01749268037580006,0.03754526519683916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.814526706979155,0.2552589697206833,1.6740003452546435,0.0181662724280306,0.03806266603968316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.8451101218075381,0.38462060632820433,1.135703285383004,0.021664469287921297,0.04408327322042639,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.67572224143598,0.2569760092663852,1.3947966635250286,0.022041636610213196,0.04408327322042639,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.2554597981675233,0.717884732778354,-1.490655944788188,0.024396691838291337,0.04755606873725715,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.593625071467444,0.16128905931317314,1.879903444988567,0.024858854112657147,0.04755606873725715,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.7201331795825516,0.29644397239082904,1.2805042769085624,0.025786249105775986,0.04828063662358057,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.27453667409151983,0.6856797690014262,-1.3205360709800715,0.026389900871130124,0.04838148493040523,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.6749580128698186,0.23922982299339984,1.4964005084363772,0.02729723022001773,0.04902359712982776,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.6795474338801791,0.23862760622252271,1.5098133033224646,0.029244225660611224,0.049490228041034375,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.6492907205537297,0.22025030244086877,1.559720590785383,0.028688730010054155,0.049490228041034375,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.64929072055373,0.22025030244086893,1.5597205907853826,0.02868873001005411,0.049490228041034375,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.802233439647168,0.28011482809384647,1.518003747928859,0.03472094084281316,0.057649864040897315,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.5963317301890315,0.1965876500461728,1.6009424110103583,0.036781492715898916,0.05994021035183527,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.6189809084293971,0.2237287494536165,1.468144255667758,0.03838459863771767,0.06031865500212777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.49193462182356984,0.08180286381539145,2.588243337839128,0.037734668828786753,0.06031865500212777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.7809527059421979,0.26304319098476264,1.5699354765954632,0.04157214483750792,0.0641815569421175,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.6359756900458533,0.27119816596206325,1.2296241980759632,0.04469253922130666,0.067809369853017,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.24460136678386846,0.6886108740908128,-1.4932564977993443,0.05095193076003724,0.07599610011666572,l_hippocampus,male_P45_nrxn,male_P45_control
