,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_DifferenceEntropy,0.4609696983501488,0.8067707875787938,-0.8074869274307788,0.07213614948191314,0.19789246991314724,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.4612942664439561,0.80612092184224,-0.8053089050182063,0.07330960192533885,0.19789246991314724,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.45699513233612965,0.7996080219008143,-0.8071141471310285,0.07420967621743021,0.19789246991314724,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.5255140371297626,0.21120837704809342,1.3150622441758695,0.10631772810153307,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.22082575621550993,0.5550744133341915,-1.3297727402816777,0.09082322239259268,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.6157058840844991,0.20005885280880803,1.6218168851209172,0.08880700274650494,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.7817929701332744,0.45501583893084996,0.7808698461414367,0.09765014790420093,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.5261259731786511,0.2105241271011939,1.321422690411638,0.10490246589362871,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.6025256080960086,0.9570722017352612,-0.6676052070457836,0.10095092478186989,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.5503153721167102,0.24531926805624166,1.1655980768247045,0.09538843877904725,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.5255140371297627,0.21120837704809362,1.3150622441758686,0.10631772810153307,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.5743815265834096,0.25866562305840374,1.1509210185243084,0.09738653311564184,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.5796194787134089,0.2619971703415014,1.1455548487218343,0.09936016320175163,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.539200240918345,0.15835951917852215,1.7676175490431723,0.09889460885964428,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.4547031214669417,0.7649133643858619,-0.7503714465429692,0.09104102430251783,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.7817929701332744,0.45501583893084996,0.7808698461414367,0.09765014790420093,0.20339043636815024,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.2470664928292048,0.5554106910039114,-1.168655582054746,0.11677330604804609,0.21408439442141786,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.7529335071707948,0.44458930899608723,0.7600492072792511,0.11677330604804523,0.21408439442141786,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.03301932247452426,0.3731871873403805,-3.498517031977972,0.12178174207542698,0.2150011201459561,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
